City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
1,Arlit,NE,88.52,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
2,Algeciras,ES,76.68,scattered clouds,36.1333,-5.4505,AC Hotel by Marriott Algeciras
3,Mahon,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
4,Bima,ID,86.92,few clouds,-8.4667,118.7167,Lambitu Hotel
5,Bengkulu,ID,80.47,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
6,Katsuura,JP,77.81,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
7,Tual,ID,78.96,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
8,Hilo,US,88.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
9,Kavieng,PG,83.8,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
10,Nizwa,OM,86.88,few clouds,22.9333,57.5333,Orient Apartments
11,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Phichit,TH,77.18,overcast clouds,16.25,100.4167,Rommakham Homestay
13,Victoria,HK,88.97,overcast clouds,22.2855,114.1577,Mini Central
14,Dawlatabad,AF,79.29,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
15,Cairns,AU,85.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
16,Kapaa,US,82.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
17,Ixtapa,MX,81.63,overcast clouds,20.7,-105.2,hotel la terminal
18,Alofi,NU,76.35,light rain,-19.0595,-169.9187,Taloa Heights
19,Rancho Palos Verdes,US,85.08,clear sky,33.7445,-118.387,Terranea Resort
20,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
21,Saint Thomas,BB,79.92,few clouds,13.1833,-59.5833,Jefferson's House
22,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
23,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
24,Ribeira Grande,PT,75.58,light rain,38.5167,-28.7,Quinta da Meia Eira
25,Saint Anthony,US,83.17,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
26,Chabahar,IR,80.22,overcast clouds,25.2919,60.643,هتل گدروشیا
27,Forestville,US,75.54,broken clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
28,Carbonia,IT,77.02,clear sky,39.1672,8.5222,Lu 'Hotel
29,Fukue,JP,89.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
30,Norman Wells,CA,80.22,scattered clouds,65.282,-126.8329,Heritage Hotel
31,Lorengau,PG,84.38,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
32,Tuyen Quang,VN,77.14,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
33,Auki,SB,89.33,broken clouds,-8.7676,160.7034,Auki Motel
34,Nuevitas,CU,80.64,broken clouds,21.5453,-77.2644,Hotel Caonaba
35,Wanning,CN,84.61,overcast clouds,18.8003,110.3967,Paradise Hotel
36,Virginia Beach,US,85.01,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
37,Bubaque,GW,78.93,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
38,Myitkyina,MM,82.06,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
39,Progreso,MX,79.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
40,Umm Lajj,SA,86.22,scattered clouds,25.0213,37.2685,Moon light Furnished Units
41,Cabo San Lucas,MX,89.91,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
42,Manicore,BR,79.88,scattered clouds,-5.8092,-61.3003,Hotel Durval
43,Makakilo City,US,84.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
44,Tutoia,BR,78.46,clear sky,-2.7619,-42.2744,Tutóia Pousada Vila Beach
45,Santa Vitoria,BR,75.47,clear sky,-18.8386,-50.1214,Center Hotel
46,Tautira,PF,76.12,light rain,-17.7333,-149.15,Pension Oaoa
47,Bowen,AU,75.45,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
48,Rosario Oeste,BR,78.66,broken clouds,-14.8361,-56.4275,Alvorada Palace accomodation
49,Palembang,ID,80.69,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
50,Fukuma,JP,89.29,scattered clouds,33.7667,130.4667,Masago
51,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
52,Ciudad Bolivar,VE,77.14,overcast clouds,8.1222,-63.5497,Hotel Edi
53,Culfa,AZ,78.67,clear sky,38.9558,45.6308,Hotel Araz
54,Fare,PF,76.84,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
55,Hithadhoo,MV,82.08,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Vanimo,PG,83.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
57,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
58,Aklavik,CA,77.94,overcast clouds,68.2191,-135.0107,Aklavik Inn
59,Kupang,ID,81.45,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
60,Namatanai,PG,84.65,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
61,Thoen,TH,80.73,overcast clouds,17.6129,99.2161,บ้านห้องนอน
62,Semnan,IR,79.74,clear sky,35.5729,53.3971,Semnan Tourist Hotel
63,Burhaniye,TR,75.11,clear sky,39.5004,26.9727,Hotel Nova
64,Bambanglipuro,ID,80.29,scattered clouds,-7.95,110.2833,Puri Brata
65,Biak,ID,76.19,overcast clouds,-0.9131,122.8766,Penginapan Kim
66,Shingu,JP,83.84,broken clouds,33.7333,135.9833,Shingu UI Hotel
67,Dangriga,BZ,79.54,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
68,Finschhafen,PG,85.32,overcast clouds,-6.6024,147.8681,Cossam Guest House
69,El Triunfo,EC,75.24,broken clouds,-1.9333,-79.9667,"""COUNTRY HOUSE"""
70,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
71,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
72,Kirakira,SB,85.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
73,Rodos,GR,77.79,clear sky,36.4408,28.2225,Spirit of the Knights Boutique Hotel
74,Butaritari,KI,82.67,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
75,Daru,PG,80.22,overcast clouds,-9.0763,143.2092,Daru Lodge
76,Cacoal,BR,80.56,overcast clouds,-11.4386,-61.4472,Hotel BR 364
77,Alexandria,EG,78.1,clear sky,31.2156,29.9553,Royal Crown Hotel
78,Itoman,JP,88.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
79,Manggar,ID,82.29,overcast clouds,-2.8833,108.2667,Guest Hotel
80,Upata,VE,76.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
81,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
82,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
83,Morehead,US,76.95,clear sky,37.2711,-87.1764,CCI Express Inn
84,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
85,Bethel,US,80.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
86,Fort-Shevchenko,KZ,84.42,overcast clouds,44.5086,50.263,Oasis hotel Bautino
87,Nova Olimpia,BR,76.89,broken clouds,-14.7972,-57.2881,Motel glamour
88,Aswan,EG,88.36,broken clouds,24.0934,32.907,Nuba Nile
89,Sao Filipe,CV,77.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
90,Nara,JP,88.92,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
91,Radhanpur,IN,82.58,overcast clouds,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
92,Sur,OM,86.86,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
93,Nantucket,US,79.0,clear sky,41.2835,-70.0995,Jared Coffin House
94,Dingle,PH,82.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
