City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Fortuna,US,40.5982,-124.1573,68.94,77,20,13.8,few clouds
Clyde River,CA,70.4692,-68.5914,46.63,76,0,4.61,clear sky
Avarua,CK,-21.2078,-159.775,77.05,69,75,16.11,broken clouds
Talnakh,RU,69.4865,88.3972,56.21,70,70,3.02,broken clouds
Arlit,NE,18.7369,7.3853,88.52,39,5,4.36,clear sky
Semey,KZ,50.4111,80.2275,64.62,48,0,13.42,clear sky
Algeciras,ES,36.1333,-5.4505,76.68,88,40,9.22,scattered clouds
Paamiut,GL,61.994,-49.6678,44.24,97,100,5.46,light rain
Mahon,ES,39.8885,4.2658,77.56,78,20,2.3,few clouds
Castro,BR,-24.7911,-50.0119,52.77,74,3,5.03,clear sky
Souillac,MU,-20.5167,57.5167,67.32,70,1,10.22,clear sky
Codrington,AU,-38.2667,141.9667,54.21,80,65,4.41,broken clouds
Lovozero,RU,68.005,35.0117,61.34,95,100,5.21,light rain
Bima,ID,-8.4667,118.7167,86.92,46,18,5.5,few clouds
Broken Hill,AU,-31.95,141.4333,57.22,46,0,19.84,clear sky
Airai,TL,-8.9266,125.4092,72.73,53,46,3.31,scattered clouds
Nouadhibou,MR,20.931,-17.0347,70.57,90,2,6.24,clear sky
Bengkulu,ID,-3.8004,102.2655,80.47,69,10,2.17,clear sky
Hualmay,PE,-11.0964,-77.6139,61.29,84,62,12.88,broken clouds
Mataura,NZ,-46.1927,168.8643,57.47,67,100,4.92,overcast clouds
Martil,MA,35.6166,-5.2752,74.3,91,13,0.51,few clouds
Katsuura,JP,35.1333,140.3,77.81,71,100,5.97,overcast clouds
Vao,NC,-22.6667,167.4833,73.18,80,4,11.61,clear sky
Kodiak,US,57.79,-152.4072,63.91,48,0,12.66,clear sky
Bluff,NZ,-46.6,168.3333,57.79,79,61,9.22,broken clouds
Tual,ID,-5.6667,132.75,78.96,83,100,8.16,overcast clouds
Hilo,US,19.7297,-155.09,88.29,88,100,18.41,heavy intensity rain
Kinsale,IE,51.7075,-8.5306,52.97,76,20,10.36,few clouds
Busselton,AU,-33.65,115.3333,56.7,68,100,10.38,overcast clouds
Kavieng,PG,-2.5744,150.7967,83.8,68,98,3.09,overcast clouds
Albany,US,42.6001,-73.9662,77.79,82,98,2.93,overcast clouds
Ushuaia,AR,-54.8,-68.3,33.98,98,94,1.07,overcast clouds
Nizwa,OM,22.9333,57.5333,86.88,49,12,2.82,few clouds
Vaini,TO,-21.2,-175.2,80.76,89,75,8.05,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,64.22,72,16,9.37,few clouds
Hermanus,ZA,-34.4187,19.2345,54.81,84,97,8.01,overcast clouds
Am Timan,TD,11.0297,20.2827,73.15,94,100,7.18,overcast clouds
Nikolskoye,RU,59.7035,30.7861,69.8,83,82,5.73,broken clouds
Provideniya,RU,64.3833,-173.3,51.44,56,40,10.98,scattered clouds
Phichit,TH,16.25,100.4167,77.18,91,100,6.4,overcast clouds
Jumla,NP,29.2747,82.1838,63.91,93,100,1.32,overcast clouds
Victoria,HK,22.2855,114.1577,88.97,85,100,8.99,overcast clouds
Mega,ET,4.05,38.3,53.31,82,51,14.63,broken clouds
Nanortalik,GL,60.1432,-45.2371,45.39,97,100,9.8,moderate rain
Dawlatabad,AF,36.4141,64.9053,79.29,23,0,1.36,clear sky
Ati,TD,13.2154,18.3353,77,78,100,11.41,overcast clouds
Pangoa,PE,-12.1167,-73,66.07,98,100,1.52,overcast clouds
Jamestown,US,42.097,-79.2353,73.71,66,88,1.99,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,65.16,51,84,14.67,broken clouds
Fairbanks,US,64.8378,-147.7164,55.36,86,75,10.36,broken clouds
Cairns,AU,-16.9167,145.7667,85.1,61,30,5.75,scattered clouds
Kapaa,US,22.0752,-159.319,82.11,73,20,10.36,few clouds
Ixtapa,MX,20.7,-105.2,81.63,74,100,2.3,overcast clouds
Cidreira,BR,-30.1811,-50.2056,51.03,75,3,7.78,clear sky
Mashhad,IR,36.297,59.6062,69.94,49,0,4.61,clear sky
Lianran,CN,24.9227,102.485,65.62,91,100,2.89,overcast clouds
Richards Bay,ZA,-28.783,32.0377,61.97,92,0,5.17,clear sky
Alofi,NU,-19.0595,-169.9187,76.35,81,100,22.32,light rain
East London,ZA,-33.0153,27.9116,60.03,75,19,9.73,few clouds
Lucapa,AO,-8.4192,20.7447,67.19,38,31,4.03,scattered clouds
Valdivia,CL,-39.8142,-73.2459,46.49,99,100,2.8,overcast clouds
Rancho Palos Verdes,US,33.7445,-118.387,85.08,76,0,8.01,clear sky
Ponta Do Sol,PT,32.6667,-17.1,72.23,81,16,5.23,few clouds
Grootfontein,NA,-19.5667,18.1167,57.96,40,0,3.06,clear sky
Isangel,VU,-19.55,169.2667,84.31,70,40,5.75,scattered clouds
Margate,GB,51.3813,1.3862,60.87,80,100,3.13,overcast clouds
Saint Thomas,BB,13.1833,-59.5833,79.92,89,20,16.11,few clouds
Suntar,RU,62.1444,117.6319,52.66,82,100,10.29,overcast clouds
Prestea,GH,5.4327,-2.1428,68.97,92,55,2.71,broken clouds
Kargasok,RU,59.0556,80.8572,65.95,66,22,8.16,few clouds
Yulara,AU,-25.2406,130.9889,59.38,28,0,8.28,clear sky
Sonoita,MX,31.85,-112.8333,98.4,26,24,10.25,few clouds
Torbay,CA,47.6666,-52.7314,67.57,90,100,20.71,overcast clouds
Coihaique,CL,-45.5752,-72.0662,34.41,93,0,0,clear sky
Georgetown,MY,5.4112,100.3354,84.88,78,20,4.61,few clouds
Atuona,PF,-9.8,-139.0333,77.68,72,18,14.7,few clouds
Rikitea,PF,-23.1203,-134.9692,70.54,60,68,18.32,broken clouds
Visby,SE,57.6409,18.296,61.02,72,73,16.11,broken clouds
Sayyan,YE,15.1718,44.3244,59.99,74,100,4.45,overcast clouds
Estepa,ES,37.2926,-4.879,71.74,60,0,1.99,clear sky
Ribeira Grande,PT,38.5167,-28.7,75.58,83,85,9.95,light rain
Saint Anthony,US,45.0205,-93.218,83.17,63,55,3,broken clouds
Chabahar,IR,25.2919,60.643,80.22,86,99,7.47,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,44.1,89,100,1.99,overcast clouds
New Norfolk,AU,-42.7826,147.0587,48.7,64,54,1.99,broken clouds
Forestville,US,38.8451,-76.875,75.54,95,75,8.05,broken clouds
Carbonia,IT,39.1672,8.5222,77.02,68,2,4.25,clear sky
Ilulissat,GL,69.2167,-51.1,46.42,93,100,0,light intensity shower rain
Hobart,AU,-42.8794,147.3294,49.05,83,40,14.97,scattered clouds
Shache,CN,38.4167,77.2406,66,86,100,2.59,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,37.27,77,35,5.12,scattered clouds
Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,75,5.01,broken clouds
Qaqortoq,GL,60.7167,-46.0333,45.63,96,100,3.04,overcast clouds
Esperance,AU,-33.8667,121.9,53.8,66,68,11.27,broken clouds
Kaeo,NZ,-35.1,173.7833,64.33,78,95,6.87,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,69.15,64,7,11.18,clear sky
Fukue,JP,32.6881,128.8419,89.96,70,75,8.05,broken clouds
Krasnoselkup,RU,65.7,82.4667,61.81,63,56,6.22,broken clouds
Murmashi,RU,68.8154,32.8115,63.01,100,75,2.24,broken clouds
Norman Wells,CA,65.282,-126.8329,80.22,33,47,9.17,scattered clouds
Mahebourg,MU,-20.4081,57.7,69.08,65,6,11.5,clear sky
Lorengau,PG,-2.0226,147.2712,84.38,69,53,4.43,broken clouds
Guerrero Negro,MX,27.9769,-114.0611,72.59,81,2,17.78,clear sky
Tuyen Quang,VN,21.8233,105.2181,77.14,96,100,0.49,overcast clouds
Auki,SB,-8.7676,160.7034,89.33,57,57,6.58,broken clouds
Nuevitas,CU,21.5453,-77.2644,80.64,79,68,13.13,broken clouds
Lagoa,PT,39.05,-27.9833,74.28,85,61,11.1,light rain
Spring Valley,US,36.108,-115.245,92.59,35,20,14.97,few clouds
Bathurst,AU,-33.4166,149.5806,53.73,64,13,1.01,few clouds
Namibe,AO,-15.1961,12.1522,61.3,85,3,4.12,clear sky
Carnarvon,AU,-24.8667,113.6333,63.91,44,0,11.07,clear sky
Wanning,CN,18.8003,110.3967,84.61,78,100,3.83,overcast clouds
Fonte Boa,BR,-2.4959,-66.2662,74.75,82,100,3.06,overcast clouds
Virginia Beach,US,36.8529,-75.978,85.01,76,100,8.05,overcast clouds
Yellowknife,CA,62.456,-114.3525,62.64,49,76,7.14,broken clouds
Rehoboth,NA,-23.3167,17.0833,52.75,39,3,3.15,clear sky
Dourbali,TD,11.8091,15.8632,72.88,85,93,6.98,overcast clouds
Thompson,CA,55.7435,-97.8558,46.29,95,100,13.62,overcast clouds
Bubaque,GW,11.2833,-15.8333,78.93,83,100,10.96,light rain
Myitkyina,MM,25.3833,97.4,82.06,78,44,0.43,scattered clouds
