City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2022-08-01 01:51:26,-33.6971,-53.4616,47.03,84,51,5.14
1,Sao Miguel Do Araguaia,BR,2022-08-01 01:51:26,-13.275,-50.1628,74.77,23,0,2.42
2,Jaitaran,IN,2022-08-01 01:51:26,26.2031,73.9364,79.54,84,50,15.41
3,Petukhovo,RU,2022-08-01 01:51:27,55.0692,67.9019,63.66,92,68,7.83
4,Bethel,US,2022-08-01 01:51:27,41.3712,-73.414,77.36,69,100,5.12
5,Hermanus,ZA,2022-08-01 01:51:27,-34.4187,19.2345,38.8,74,0,7.54
6,Avarua,CK,2022-08-01 01:50:14,-21.2078,-159.775,77.05,73,75,13.8
7,Ontario,US,2022-08-01 01:47:03,34.0633,-117.6509,94.1,40,75,17.27
8,Hobart,AU,2022-08-01 01:51:28,-42.8794,147.3294,54.27,61,40,14.97
9,Albany,US,2022-08-01 01:51:28,42.6001,-73.9662,73.63,72,100,2.28
10,Tanete,ID,2022-08-01 01:51:29,-3.9443,119.7848,81.34,81,100,6.13
11,Lebu,CL,2022-08-01 01:51:29,-37.6167,-73.65,46.58,84,100,4.32
12,Puerto Ayora,EC,2022-08-01 01:51:29,-0.7393,-90.3518,71.55,92,79,5.99
13,Dongsheng,CN,2022-08-01 01:51:30,39.8161,109.9776,77.4,47,23,16.06
14,Butaritari,KI,2022-08-01 01:51:30,3.0707,172.7902,81.52,78,82,12.97
15,Qaanaaq,GL,2022-08-01 01:51:30,77.484,-69.3632,43.9,65,100,2.77
16,Chivilcoy,AR,2022-08-01 01:51:00,-34.8957,-60.0167,51.69,70,0,7.02
17,Jamestown,US,2022-08-01 01:51:31,42.097,-79.2353,71.24,73,0,0.0
18,Dikson,RU,2022-08-01 01:51:31,73.5069,80.5464,41.31,93,100,8.9
19,Vera Cruz,BR,2022-08-01 01:51:31,-12.6333,-41.0333,71.17,80,2,6.24
20,Havelock,US,2022-08-01 01:46:48,34.8791,-76.9013,80.58,90,100,9.91
21,Airai,TL,2022-08-01 01:51:32,-8.9266,125.4092,72.84,53,52,2.66
22,Mar Del Plata,AR,2022-08-01 01:51:32,-38.0023,-57.5575,54.88,84,0,3.0
23,Barrow,US,2022-08-01 01:51:32,71.2906,-156.7887,35.62,87,100,9.22
24,Grand Gaube,MU,2022-08-01 01:51:33,-20.0064,57.6608,68.4,81,1,3.0
25,Merced,US,2022-08-01 01:51:33,37.1666,-120.7516,93.43,23,10,13.53
26,Namibe,AO,2022-08-01 01:51:33,-15.1961,12.1522,56.73,79,3,10.94
27,Kapaa,US,2022-08-01 01:51:34,22.0752,-159.319,84.52,67,0,14.97
28,Rikitea,PF,2022-08-01 01:51:34,-23.1203,-134.9692,72.1,74,100,24.45
29,Staraya Poltavka,RU,2022-08-01 01:51:35,50.4772,46.4814,68.4,69,75,13.42
30,Tual,ID,2022-08-01 01:51:35,-5.6667,132.75,79.56,84,100,17.49
31,New Norfolk,AU,2022-08-01 01:51:35,-42.7826,147.0587,53.92,76,54,4.0
32,Ribeira Grande,PT,2022-08-01 01:51:35,38.5167,-28.7,73.78,76,19,7.07
33,North Bend,US,2022-08-01 01:51:36,43.4065,-124.2243,73.24,94,75,6.91
34,Cherskiy,RU,2022-08-01 01:51:36,68.75,161.3,72.23,33,77,17.6
35,Cidreira,BR,2022-08-01 01:51:36,-30.1811,-50.2056,58.41,90,2,9.1
36,Jibuti,DJ,2022-08-01 01:47:02,11.5,42.5,82.08,50,43,15.97
37,Mataura,NZ,2022-08-01 01:51:37,-46.1927,168.8643,51.48,69,81,9.13
38,Port Hardy,CA,2022-08-01 01:46:48,50.6996,-127.4199,69.98,73,75,12.66
39,Busselton,AU,2022-08-01 01:51:37,-33.65,115.3333,59.29,88,100,13.13
40,Margate,GB,2022-08-01 01:51:38,51.3813,1.3862,64.9,91,100,1.01
41,Tuktoyaktuk,CA,2022-08-01 01:51:38,69.4541,-133.0374,64.4,55,40,4.61
42,Chelmsford,GB,2022-08-01 01:51:38,51.7357,0.4696,65.86,88,99,1.01
43,Betare Oya,CM,2022-08-01 01:51:39,5.6,14.0833,65.68,98,100,3.4
44,Hasaki,JP,2022-08-01 01:51:39,35.7333,140.8333,95.29,67,99,5.84
45,Saskylakh,RU,2022-08-01 01:52:39,71.9167,114.0833,45.73,76,100,9.91
46,Alofi,NU,2022-08-01 01:52:39,-19.0595,-169.9187,80.49,74,3,13.8
47,Mehamn,NO,2022-08-01 01:52:40,71.0357,27.8492,57.15,88,75,0.0
48,Sao Gabriel Da Cachoeira,BR,2022-08-01 01:50:00,-0.1303,-67.0892,76.06,86,85,1.54
49,Waingapu,ID,2022-08-01 01:52:40,-9.6567,120.2641,82.85,64,34,9.69
50,Sawakin,SD,2022-08-01 01:52:41,19.1059,37.3321,90.91,51,99,10.76
51,Ocos,GT,2022-08-01 01:52:41,14.5094,-92.1933,80.78,79,100,6.44
52,Faanui,PF,2022-08-01 01:52:41,-16.4833,-151.75,78.42,72,10,23.94
53,Port-Cartier,CA,2022-08-01 01:49:32,50.0334,-66.8654,74.88,88,92,5.32
54,Dingle,PH,2022-08-01 01:52:42,10.9995,122.6711,84.63,71,100,1.66
55,Kamaishi,JP,2022-08-01 01:52:42,39.2667,141.8833,77.38,87,100,4.54
56,Port Alfred,ZA,2022-08-01 01:52:42,-33.5906,26.891,51.93,72,0,9.42
57,Hofn,IS,2022-08-01 01:52:43,64.2539,-15.2082,49.5,62,45,15.99
58,Yar-Sale,RU,2022-08-01 01:52:43,66.8333,70.8333,54.3,66,5,8.03
59,Punta Arenas,CL,2022-08-01 01:52:43,-53.15,-70.9167,42.91,75,75,12.66
60,Nikolskoye,RU,2022-08-01 01:52:44,59.7035,30.7861,57.79,83,100,4.41
61,Aklavik,CA,2022-08-01 01:52:44,68.2191,-135.0107,67.5,45,75,6.93
62,Yellowknife,CA,2022-08-01 01:52:44,62.456,-114.3525,66.72,42,40,8.05
63,Gazojak,TM,2022-08-01 01:52:45,41.1875,61.4036,79.48,33,96,6.73
64,Uyemskiy,RU,2022-08-01 01:52:45,64.4743,40.8524,53.65,100,40,0.0
65,Sao Francisco,BR,2022-08-01 01:52:45,-15.9486,-44.8644,71.58,37,4,4.7
66,East London,ZA,2022-08-01 01:51:54,-33.0153,27.9116,53.49,62,0,6.76
67,Bluff,NZ,2022-08-01 01:52:46,-46.6,168.3333,51.8,74,100,16.87
68,Karaton,ID,2022-08-01 01:52:46,-6.3424,106.1045,81.82,64,74,4.21
69,Sinop,TR,2022-08-01 01:52:46,41.7711,34.8709,65.05,86,0,4.32
70,Geraldton,AU,2022-08-01 01:52:47,-28.7667,114.6,66.61,63,100,27.63
71,Sobolevo,RU,2022-08-01 01:52:47,54.4299,31.8996,59.79,74,100,8.52
72,Gidam,IN,2022-08-01 01:52:47,18.9833,81.4,78.8,86,100,0.51
73,Vaini,TO,2022-08-01 01:51:55,-21.2,-175.2,80.76,94,75,6.91
74,Deputatskiy,RU,2022-08-01 01:52:48,69.3,139.9,68.72,67,100,4.21
75,Westport,US,2022-08-01 01:49:49,41.1415,-73.3579,78.03,83,100,1.99
76,Saint-Leu,RE,2022-08-01 01:52:48,-21.15,55.2833,68.32,73,31,2.59
77,Garissa,KE,2022-08-01 01:52:48,-0.4536,39.6401,71.29,84,34,13.71
78,Ambovombe,MG,2022-08-01 01:52:49,-25.1667,46.0833,65.1,91,13,6.22
79,Santa Maria,BR,2022-08-01 01:52:49,-29.6842,-53.8069,49.3,100,1,0.0
80,Robertsport,LR,2022-08-01 01:52:49,6.7533,-11.3686,76.98,81,100,10.16
81,Rapina,EE,2022-08-01 01:52:50,58.0981,27.4636,60.37,76,100,7.52
82,Khatanga,RU,2022-08-01 01:52:00,71.9667,102.5,48.58,63,66,11.95
83,Carnarvon,AU,2022-08-01 01:52:50,-24.8667,113.6333,70.09,74,100,17.38
84,Cayenne,GF,2022-08-01 01:52:51,4.9333,-52.3333,83.08,1,69,3.44
85,Tasiilaq,GL,2022-08-01 01:52:51,65.6145,-37.6368,37.62,51,26,4.07
86,Opuwo,NA,2022-08-01 01:52:51,-18.0607,13.84,47.71,61,22,6.11
87,Teberda,RU,2022-08-01 01:52:52,43.4456,41.7448,58.42,58,0,6.17
88,Makat,KZ,2022-08-01 01:52:52,47.6469,53.3463,81.03,36,99,6.51
89,Auki,SB,2022-08-01 01:52:52,-8.7676,160.7034,85.77,65,11,5.21
90,Atuona,PF,2022-08-01 01:53:53,-9.8,-139.0333,77.23,71,12,12.08
91,Lorengau,PG,2022-08-01 01:53:53,-2.0226,147.2712,84.65,72,99,11.5
